L N N1 N2 N3 W S1 S2 S3 F1 F2 F3 C T T10 T25 T50 T75 T90
0 16 2 2 2 25000000 400 800 800 0.0 1.0 1.0 2 0.329809 0.192803 0.197402 0.329809 0.546626 0.566804
0 16 8 4 2 50000000 200 400 800 0.0 0.0 1.0 1 28.548066 21.433705 26.795981 28.548066 28.548190 29.482578
0 16 8 2 2 25000000 400 800 800 0.0 0.0 0.0 0 6.984001 4.906317 5.758512 6.984001 7.617494 7.732865
0 8 2 2 0 25000000 200 400 400 0.0 1.0 0.0 0 4.161174 3.262684 3.794217 4.161174 4.879686 5.076196
0 16 8 2 2 25000000 400 800 800 0.0 0.0 1.0 0 7.113026 4.917470 5.851197 7.113026 7.539981 7.719404
0 8 2 2 0 50000000 200 400 400 0.0 0.0 0.0 2 1.089470 0.975142 1.045989 1.089470 1.119029 1.141229
0 8 4 2 2 100000000 200 400 800 0.0 1.0 1.0 2 3.249281 3.104437 3.173432 3.249281 3.322291 3.346198
0 16 8 2 2 50000000 400 800 800 0.0 1.0 1.0 2 0.914339 0.862711 0.884885 0.914339 0.956786 0.972171
0 8 2 2 0 100000000 200 400 800 0.0 1.0 0.0 2 2.165415 1.672093 1.985869 2.165415 2.382007 2.471662
0 8 4 2 2 10000000 200 400 400 0.0 0.0 1.0 1 2.454135 2.006646 2.300089 2.454135 2.454397 2.570910
0 8 4 2 2 10000000 200 400 400 0.0 0.0 0.0 1 2.454135 2.281243 2.384842 2.454135 2.454397 2.566176
0 16 8 2 2 50000000 400 800 800 0.0 1.0 0.0 2 0.914339 0.862711 0.884885 0.914339 0.956786 0.972171
0 8 4 2 2 100000000 200 400 800 0.0 1.0 0.0 2 3.249281 3.104437 3.173432 3.249281 3.322291 3.346198
0 4 2 2 2 25000000 400 800 800 0.0 0.0 1.0 2 0.276605 0.274460 0.274753 0.276605 0.278508 0.278960
0 8 4 2 0 25000000 400 800 800 0.0 0.0 0.0 0 3.011024 2.772638 2.882996 3.011024 3.149622 3.326614
0 4 2 2 2 25000000 400 800 800 0.0 0.0 0.0 2 0.276605 0.274460 0.274753 0.276605 0.278508 0.278960
0 4 2 2 2 50000000 400 800 800 0.0 1.0 0.0 0 2.192165 2.097480 2.099254 2.192165 2.283883 2.285520
0 8 2 2 2 10000000 400 800 800 0.0 1.0 0.0 1 0.816553 0.592992 0.760047 0.816553 0.832881 0.879598
